COUNTY,Battery Electric % Unadj,Battery Electric % adj,Hybrid Gasoline % Unadj,Hybrid Gasoline % adj,Plug Electric % Unadj,Plug Electric % adj,% Unadj Low Emission,% Adj Low Emission
1,0.015330634,0.015338898,0.052244969,0.051540046,0.015330634,0.015338898,0.082906237,0.082217842
3,0.001779359,0.001364179,0.016459075,0.016483829,0.001779359,0.001364179,0.020017794,0.019212187
5,0.001197219,0.00114859,0.017244555,0.017088207,0.001197219,0.00114859,0.019638992,0.019385387
7,0.001370489,0.001453831,0.022598169,0.023631135,0.001370489,0.001453831,0.025339146,0.026538798
9,0.001586679,0.001548863,0.01836269,0.018612064,0.001586679,0.001548863,0.021536048,0.021709791
11,0.001063688,0.001159503,0.010282321,0.010257142,0.001063688,0.001159503,0.012409697,0.012576148
13,0.010692045,0.010216135,0.047635783,0.046193924,0.010692045,0.010216135,0.069019872,0.066626193
15,0.001232438,0.001232438,0.015528716,0.015528716,0.001232438,0.001232438,0.017993591,0.017993591
17,0.004612835,0.004617651,0.026854116,0.026903724,0.004612835,0.004617651,0.036079786,0.036139025
19,0.003742922,0.003705993,0.017450279,0.017659588,0.003742922,0.003705993,0.024936123,0.025071573
21,0.000583431,0.000579886,0.010282964,0.010185815,0.000583431,0.000579886,0.011449825,0.011345587
23,0.003133955,0.003128554,0.027080141,0.027128659,0.003133955,0.003128554,0.033348051,0.033385766
25,0.000759083,0.000761431,0.00873207,0.008671218,0.000759083,0.000761431,0.010250236,0.01019408
27,0.001696464,0.002213607,0.016094654,0.015518675,0.001696464,0.002213607,0.019487581,0.01994589
29,0.001652269,0.001710938,0.014651955,0.01460093,0.001652269,0.001710938,0.017956494,0.018022805
31,0.001814712,0.001850243,0.01360608,0.014150403,0.001814712,0.001850243,0.017235504,0.01785089
33,0.001543232,0.001546896,0.018334726,0.018346908,0.001543232,0.001546896,0.021421189,0.0214407
35,0.0003561,0.000323752,0.00705078,0.006964105,0.0003561,0.000323752,0.00776298,0.007611608
37,0.007002613,0.006974024,0.038593719,0.038630739,0.007002613,0.006974024,0.052598945,0.052578788
39,0.001887343,0.001885874,0.01502584,0.015331911,0.001887343,0.001885874,0.018800525,0.019103659
41,0.016583311,0.016945796,0.065715061,0.06663316,0.016583311,0.016945796,0.098881683,0.100524751
43,0.001522601,0.001470726,0.016938937,0.017201727,0.001522601,0.001470726,0.01998414,0.02014318
45,0.003274718,0.003196299,0.026236497,0.026358953,0.003274718,0.003196299,0.032785932,0.032751551
47,0.001314665,0.00130511,0.01448431,0.01483853,0.001314665,0.00130511,0.01711364,0.017448749
49,0.000709555,0.000682889,0.007174393,0.007478472,0.000709555,0.000682889,0.008593504,0.008844251
51,0.001236094,0.001311719,0.0137061,0.012993441,0.001236094,0.001311719,0.016178288,0.015616879
53,0.003092881,0.003236085,0.024626882,0.0255364,0.003092881,0.003236085,0.030812644,0.03200857
55,0.005756452,0.006097836,0.035959308,0.036894719,0.005756452,0.006097836,0.047472211,0.049090391
57,0.003375151,0.003236088,0.02817478,0.029050458,0.003375151,0.003236088,0.034925083,0.035522633
59,0.009736468,0.009839872,0.035107657,0.035163033,0.009736468,0.009839872,0.054580593,0.054842776
61,0.006477032,0.006602204,0.031836897,0.032273641,0.006477032,0.006602204,0.044790961,0.045478048
63,0.000650806,0.00067446,0.008532793,0.008570416,0.000650806,0.00067446,0.009834406,0.009919337
65,0.003044972,0.003056565,0.02503759,0.025168556,0.003044972,0.003056565,0.031127535,0.031281685
67,0.004047106,0.004077489,0.034078378,0.034285426,0.004047106,0.004077489,0.042172591,0.042440404
69,0.00249473,0.00262138,0.020107523,0.021213764,0.00249473,0.00262138,0.025096983,0.026456525
71,0.002462443,0.002412306,0.020642095,0.020421919,0.002462443,0.002412306,0.02556698,0.02524653
73,0.007324786,0.007282145,0.036574104,0.036563659,0.007324786,0.007282145,0.051223675,0.051127948
75,0.014100186,0.014100186,0.074846051,0.074846051,0.014100186,0.014100186,0.103046423,0.103046423
77,0.002630567,0.002342176,0.022211163,0.021289771,0.002630567,0.002342176,0.027472297,0.025974123
79,0.004007978,0.004528255,0.0302969,0.032922786,0.004007978,0.004528255,0.038312856,0.041979297
81,0.015775117,0.015431425,0.054038849,0.053847157,0.015775117,0.015431425,0.085589082,0.084710007
83,0.005525247,0.006052363,0.03214616,0.034079999,0.005525247,0.006052363,0.043196654,0.046184725
85,0.020393388,0.021234402,0.047124093,0.048145423,0.020393388,0.021234402,0.087910869,0.090614227
87,0.009033131,0.010190723,0.046107221,0.051759248,0.009033131,0.010190723,0.064173483,0.072140693
89,0.001256952,0.001292702,0.020564954,0.020715898,0.001256952,0.001292702,0.023078857,0.023301301
93,0.001215333,0.001240915,0.01243226,0.012596849,0.001215333,0.001240915,0.014862926,0.015078678
95,0.003845783,0.003715779,0.032841364,0.032533705,0.003845783,0.003715779,0.04053293,0.039965262
97,0.008041478,0.007979456,0.043262028,0.043207145,0.008041478,0.007979456,0.059344985,0.059166057
99,0.001964287,0.001981415,0.017479307,0.017673784,0.001964287,0.001981415,0.021407881,0.021636614
101,0.00131231,0.00110606,0.016639285,0.016411637,0.00131231,0.00110606,0.019263904,0.018623757
103,0.000945439,0.000899887,0.017991699,0.016900798,0.000945439,0.000899887,0.019882577,0.018700572
105,0.000635953,0.000641452,0.010599209,0.010548323,0.000635953,0.000641452,0.011871114,0.011831227
107,0.002566968,0.002331126,0.013530662,0.013325304,0.002566968,0.002331126,0.018664597,0.017987556
109,0.001287857,0.001197615,0.01453439,0.014206188,0.001287857,0.001197615,0.017110105,0.016601417
111,0.00627734,0.005694337,0.035913581,0.034537155,0.00627734,0.005694337,0.04846826,0.045925829
113,0.005277607,0.005179468,0.037886825,0.0382242,0.005277607,0.005179468,0.04844204,0.048583136
115,0.000865678,0.000872204,0.018143655,0.01888261,0.000865678,0.000872204,0.01987501,0.020627018
91,,,0.011735639,0.011099983,,,,